"COMID","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub"
"23099780",1.63,0,82.6,0,0,4.7,41.41,1.3,9.05,36.3
"23099782",0,0,100,0,0,4.7,41.41,1.3,9.05,36.3
"23099784",5.06,0,22.85,54.12,17.98,4.7,41.41,1.3,9.04,36.3
"23099786",6.47,0,45.88,37.65,0,4.7,41.41,1.3,9.04,36.3
"23099788",3.7,0,74.07,12.96,0,4.7,41.41,1.3,9.04,36.3
"23099790",11.52,0,35.4,49.46,1.53,4.7,41.41,1.3,9.04,36.3
"23099792",0,0,44.65,15.35,33.49,4.69,41.42,1.29,9.04,36.31
"23099794",0,0,65.13,0,13.76,4.69,41.42,1.28,9.04,36.31
"23099796",15.7,0.8,35.41,7.21,15.38,4.69,41.42,1.28,9.04,36.31
"23099798",15.21,0,57.03,18.4,3.33,4.69,41.43,1.28,9.04,36.31
"23099800",1.23,0,84.05,0,4.6,4.69,41.44,1.27,9.04,36.32
"23099802",15.62,0,36.94,26.89,17.42,4.69,41.44,1.26,9.04,36.32
"23099804",20.75,0,26.04,44.25,7.78,4.69,41.46,1.24,9.03,36.33
"23099806",11.98,0.05,6.47,31.55,45.28,4.68,41.48,1.24,9.02,36.34
"23099808",15.03,0,9.77,38.55,31.73,4.68,41.52,1.23,9,36.33
"23099810",13.9,0,17.04,27.03,39.31,4.66,41.53,1.22,8.98,36.34
"23099812",5.19,0,51.11,27.41,0,4.66,41.58,1.21,8.96,36.33
"23099814",7.83,0,41.11,15.44,35.04,4.66,41.58,1.21,8.96,36.33
"23099816",0,0,55.07,0,30.43,4.66,41.59,1.2,8.96,36.33
"23099818",0.43,0,86.81,0,11.49,4.66,41.59,1.2,8.96,36.33
"23099820",14.81,0,42.43,18.32,22.34,4.66,41.59,1.2,8.97,36.34
"23099822",29.95,0,27.05,3.86,34.78,4.65,41.62,1.17,8.96,36.34
"23099824",31.21,0,42.39,10.82,11.06,4.65,41.62,1.17,8.96,36.34
"23099826",12.29,0,20.32,14.07,51.29,4.65,41.62,1.17,8.96,36.35
"23099828",13.88,0,3.28,14.29,67.21,4.66,41.66,1.15,8.95,36.33
"23099830",66.66,0,21.16,0,4.23,4.65,41.68,1.15,8.95,36.32
"23099832",35,0,65,0,0,4.65,41.68,1.15,8.95,36.32
"23099834",29.6,0,53.6,0,16.8,4.65,41.68,1.15,8.95,36.32
"23099836",41.11,0,43.92,0.93,14.02,4.65,41.68,1.15,8.95,36.32
"23099838",14.56,0,55.06,0,24.68,4.65,41.68,1.15,8.95,36.32
"23099840",54.54,0,0,0,0,4.65,41.68,1.15,8.95,36.32
"23099842",19.22,1.12,12.2,0,61.99,4.65,41.68,1.15,8.95,36.32
"23099844",28.69,0,11.48,0,51.91,4.58,42.21,1.14,8.62,36.08
"23099846",0,0,92,0,0,4.43,44.17,1.16,7.88,34.81
"23099848",22.58,0,41.93,0,0,4.43,44.18,1.15,7.88,34.82
"23099850",22.23,0,72.23,0,0,4.43,44.18,1.15,7.88,34.82
"23099852",29.63,0,70.37,0,0,3.9,45.19,1.17,7.4,34.69
"23099854",5.88,0,74.51,0,0.78,3.9,45.19,1.17,7.4,34.69
"23099856",80.41,0,17.04,0,0,3.9,45.19,1.17,7.4,34.69
"23099858",52.08,0,30.24,6.07,0.43,3.9,45.2,1.17,7.4,34.69
"23099860",29.16,0,52.73,7.55,1.43,3.9,45.2,1.17,7.41,34.69
"23099862",78.38,0,10.69,5.87,1.47,3.84,45.23,1.16,7.41,34.72
"23099864",22.98,0,69.54,0,0,3.8,45.25,1.16,7.41,34.73
"23099866",15.42,0,53.27,27.57,0.93,3.8,45.26,1.16,7.41,34.73
"23099868",81.51,0,9.93,1.11,0.05,3.8,45.26,1.16,7.41,34.74
"23099870",66.37,0,15.14,0,5.35,3.76,45.28,1.15,7.42,34.75
"23099872",46.56,0.18,10.44,0,37.82,3.76,45.28,1.15,7.42,34.75
"23099874",3.46,0,3.46,0,91.92,3.75,45.3,1.14,7.42,34.75
"23099876",22.56,0.12,14.23,0,57.78,3.75,45.3,1.14,7.42,34.75
"23099878",61.44,0.5,5.4,1.23,25.85,3.75,45.31,1.14,7.42,34.75
"23099880",11.84,0.64,8.32,0,63.36,3.71,45.33,1.14,7.42,34.75
"23099882",44.44,0,33.33,0,0,6,30.4,1.5,15.97,41.26
"23099884",18.4,0,5.71,24.57,50.55,6,30.4,1.5,15.97,41.26
"23099886",10.66,0.06,6.08,40.1,42.73,4.24,34.02,1.55,10.49,44.49
"23099888",5.88,0,5.36,41.86,46.56,4.1,34.89,1.45,9.77,44.48
"23099890",3.24,0,1.15,55.2,39.39,3.92,36.34,1.38,7.39,45.42
"23099892",1.69,0.03,2.56,36.95,58.08,3.95,37.32,1.39,6.12,45.58
"23099892",1.69,0.03,2.56,36.95,58.08,3.95,37.32,1.39,6.12,45.58
"23099894",3.34,0.49,5.52,0.69,89.96,4.18,41.36,1.26,2.78,44.23
"23099894",3.34,0.49,5.52,0.69,89.96,4.18,41.36,1.26,2.78,44.23
"23099896",11.24,0.67,7.75,15.54,58.97,4.19,41.77,1.21,2.8,43.77
"23099898",22.81,0.25,5.26,33.33,38.35,4.14,42.02,1.17,2.73,43.68
"23099900",5.78,3.79,3.19,31.27,53.44,4.11,42.39,1.18,2.64,43.35
"23099902",5.52,0.97,4.36,16.58,70.83,4.06,44.46,1.14,1.42,42.4
"23099906",6.31,0.31,13.94,19.33,59.31,4.14,50.36,1.19,0.34,36.85
"23099908",4.29,0,3.01,10.58,82.13,4.12,50.83,1.07,0.16,36.64
"23099910",12.4,0,0,0.86,86.74,4.18,52.2,1.07,0.04,35.15
"23099912",2.26,3.36,2.59,1.65,90.14,4.18,52.51,1.07,0.04,34.78
"23099914",3.08,21.54,6.15,0,69.23,4.22,53.63,1.04,0,33.51
